name,company_name,pack_size,price
Azocin,Epla,Pack Size: 1x10's,Rs 315
Azocin,Epla,Pack Size: 15ml,Rs 153
Azogil,Glitz,Pack Size: 1x10's,Rs 264
Azomax,Novartis,Pack Size: 2x6's,Rs 313
Azomax,Novartis,Pack Size: 25ml,Rs 432
Azomax,Novartis,Pack Size: 2x3's,Rs 224
Acetin,Genome Pharma,Pack Size: 3x10's,Rs 698
Asset,Crystolite Pharma,Pack Size: 3x10's,Rs 692
Acne-Lene,Valor,Pack Size: 15gm,Rs 221
Acne-Lene,Valor,Pack Size: 15gm,Rs 307
Adapco cream,Atco,Pack Size: 15gm,Rs 268
Adapco Forte Gel,Atco,Pack Size: 15gm,Rs 428
Amikacin Inj,Zafa,Pack Size: 1 vialx4ml,Rs 180
Amikacin,Zafa,Pack Size: 1 vialx2ml,Rs 145
Amikin,GlaxoSmithKline,Pack Size: 2ml,Rs 152
Amikin,GlaxoSmithKline,Pack Size: 2ml,Rs 481
Amisul,Ophth Pharma,Pack Size: 1 Vialx2ml,Rs 159
Amkay,Bosch,Pack Size: 5 Ampx2ml,Rs 63
Amkay,Bosch,Pack Size: 5 Ampx1ml,Rs 32
Amkay,Bosch,Pack Size: 1 Ampx2ml,Rs 114
Amkay,Bosch,Pack Size: 5 Ampx1ml,Rs 39
Amkay,Bosch,Pack Size: 1,Rs 226
Arix,Tabletros,Pack Size: 3x10's,Rs 55
Arynoin,Mass-PH Health,Pack Size: 3x10's,Rs 898
Atractin,Genome Pharma,Pack Size: 1x10's,"Rs 1,845"
Atractin,Genome Pharma,Pack Size: 3x10's,Rs 615
Asilix,Asian Continental,Pack Size: 1x10's,Rs 194
Asilix,Asian Continental,Pack Size: 1x10's,Rs 270
Atcoflox,Atco,Pack Size: 10s,Rs 124
Allerwood,Wood Wards,Pack Size: 10s,Rs 102
Arceva,Sami,Pack Size: 6s,Rs 465
Arlufa,Zafa,Pack Size: 2x8s,Rs 194
Artecxin Forte,Highnoon,Pack Size: 1x8's,Rs 308
Artecxin,Highnoon,Pack Size: 2x8's,Rs 308
Artecxin,Highnoon,Pack Size: 2x8's,Rs 189
Artelum Forte,Wood Wards,Pack Size: 8s,Rs 362
Artelum,Wood Wards,Pack Size: 30ml,Rs 123
